Review,Restaurant,Platform,Sentiment
"I'm glad that I tried this Thai restaurant.
Foods were tasty more than I expected.
The server was very quick to respond and friendly despite of busy hours. The interior of the place is beautiful. I'll definitely recommend this place.",Maya Bay,Google,positive
"The thai food here was very good. The pad kee mao and the spicy green curry were phenomenal. The pad Thai was more on the sour sweet flavors and could handle more spiciness. I recommend getting a side of crushed peanuts with the Pad kee mao. It’s a very casual seating area with a nice corner view of cabbage town. This place has good vegetarian options, but does not have Halal meat.",Maya Bay,Google,positive
"As my friend’s recommendation, me and my sister gave it a try at this spot. We were so excited but the food is not that flavorful. We ordered Tom yum soup with shrimp, the soup was so fishy. We also order the clams and Crispy pork belly. The pork belly was highlight of this dinner only.
Service is not that friendly. We still tipped as normal cause we all know how hard the job was. But only after we paid, server gave us good attitude. Overall, the experience was just at acceptable level, nothing is special. I don’t think we will come back.",Maya Bay,Google,negative
"I recently went to Maya Bay Thai and had a great time! I didn't order any food but had a Thai iced tea (lemon) and it was delicious (sweet , you cant skip the sugar)
My friends had already ordered food before I got there, and they really enjoyed it.
They also have a cool deal—10% off if you pay cash, but it has to be one bill.
The vibe was nice, and the staff were friendly.
Definitely looking forward to trying the food next time!",Maya Bay,Google,positive
"We order many dishes because influences recommend many of them, we choose the most popular dishes, but toooooo salty🥲waiters are kind and helpful, we finally got discount ",Maya Bay,Google,negative
"Service was great! I ordered the Gyu Gyu King Curry and the portion was great. The curry flavour was a new flavour/ taste that I have tried. It’s very brown and traditional. I would say it’s a bit different from other traditional curry from Japan. Nonetheless, the food was great and portion was good!",Gyugyu ya,Google,positive
Came here after seeing the hype online and it did not disappoint! The curry was great!  Everything was very fresh and the chicken was good to perfection. Laid back atmosphere but very good quick service!! Its not a lot to say other than you gotta come here and at least try the japanese curry!!,Gyugyu ya,Google,positive
"The Ton Katsu Curry was delicious. It was the perfect ratio of pork to rice with a good amount of curry alongside an egg and lettuce. The portions are very good.

The staff are also very friendly and the restaurant is well-kept. Would definitely come back in the future for a good eat.",Gyugyu ya,Google,positive
"Been here since 2013, the curry has changed flavour a little bit since then but it is very comforting.
The servers are great and on top of things. Super friendly.
This is a nice lunch place or some quick dinner if you want a solid Japanese rice meals.",Gyugyu ya,Google,positive
I like the interior decor and the ambiance. I also think their service is good. But the food isn’t as delicious as I thought.,Gyugyu ya,Google,negative
"Great experience at this grill restaurant! The food was flavorful, with perfectly grilled meats and tasty sides that paired well. The atmosphere was cozy and inviting, and the staff was friendly and attentive. It’s a solid choice if you’re in the mood for a satisfying grilled meal. Only a small wait for our food, but overall a really enjoyable spot. Would definitely come back!",Gyebee,Google,positive
Nice service and staff. Good variety of beef and marinated well. Pumpkin soup is seasonal and is really good. Seafood is not that good to be honest but you cannot expect high at such place. Overall a nice spot to hang out with friends.,Gyebee,Google,positive
