Input,Restaurant,Platform,Sentiment
"Excellent place for Middle Eastern food! It is a nice large space (there is a lower and upper level) with an elegant yet trendy aesthetic. The food and drinks were awesome. I tried the hummus, pear & arugula salad, sweet jeweled rice, cauliflower, and pide (flatbread) and all were delicious and perfect for sharing. For drinks I tried the Marrakesh garden and that was perfect for the flavor profile that I like. To top it off (quite literally) the drink was topped with nigella seeds, which I had never heard of before but apparently they are good for you and they added a nice crunch.

Came here with a big(ish) group and the server handled us with aplomb, taking and giving us our order in a timely manner, and splitting the bill according to what we ordered per person. Definitely recommend Byblos!",Byblos,Yelp,Positive
"Great Middle Eastern place in downtown Toronto. They seemed very busy on a Tuesday night but had plenty of room to accommodate many customers (btw, it's a great place if you are looking for something for a large group). I am sure you would need a reservation if you want to come for a dinner on Friday night or the weekend.
They have tons of various options on the menu. Truly something for everything. Everything I've tried was delicious with lots of flavors. Portions were huge! Definitely a great place if you are craving some middle eastern food.",Byblos,Yelp,Positive
"Everything always tastes great at Byblos. The short rib kebab was definitely the highlight this time around, but we did order the gem lettuce salad for the second time. A note about the tuna tartare: it is more watermelon than tuna, so if you don't mind that, it's still tasty. The drinks were solid, and the desserts were great. A seasonal rotation of ice cream/sorbet flavours is always tempting, and worth asking about! The service is friendly and helpful, and the checking in on the table happens every now and then, whether that's simply to see how things are going or to clear small plates. The interior upstairs is very intimate with the booth seating, and is definitely suitable for a small group of people to share plates together. I would return again once the menu has changed up a bit to see what else they can do!
",Byblos,Yelp,Positive
"I ordered the octopus, lentil pide, short rib shish kebab, and baklava.

Octpus was great. the sauce was spicy and flavorful. the octopus was moist.

lentil pide was quite good also. it was served very hot. the fresh warm flat bread went great with the delicious lentils tucked inside.

the shish kebab was recommended by the server but was very disappointing. it didn't seem very traditional, and the flavor really fell flat. it lacked the spices that the other dishes had.

the baklava might be an even bigger disappointment. Again i asked the server what to expect and they said nice things about it. Unfortunately the flavors seemed flat and not what i would expect from other baklava i've had. it became a trial to get through it and i honestly didn't bother to finish it.

service was fine, though the recommendations were not great, and ambiance was pretty nice. i was expecting more from the food.",Byblos,Yelp,Negative
"I came here for my parents anniversary dinner. I have mixed reviews about this place. The food was good, for the most part, but it was too expensive, it was too dimly lit, one of the waiters really didn't know anything about the food he was serving to us, and our waitress was pretty sneaky. One thing that bothered me was that the waitress would insist on getting us almonds as if they were complementary (we did not ask or want almonds) but would go ahead and add it to our bill. I know the goal is to up sell, but it would be better if she asked if we wanted an ""appetizer of almonds"" rather than insist on getting us almonds really quickly while we wait for the other food.

What we ordered:
1. Sujuk bread: 9/0, this was amazing
2. Fig salad: 10/10. My whole family loved this and my mom went on to make this salad at home.
3. Sabzi rice : 4/10. I really didn't like this one. Maybe because this was a Persian style rice that I already eat at home and had high expectations for.
4. crispy couscous: 5/10. The first bite was good but then it got TOO salty as we got to the centre of the couscous. Would not recommend at all.
5. Shoulder of Lamb (shawarma style): 8/10 this was really good
6. lamb rack: 7/10. This was ok
7. crispy quatayef: 7/10. This was ok",Byblos,Yelp,Negative
"First impression of the menu: cheap considering its location and reputation. Portion was generous too.

There's not many tables but you can sit at the bar (we made online reservations, which was easy to get).
The place is noisy, casual, and a little bit upscale. Their menus are made to share so that's a big plus.

Complimentary cheese bun: very cheesy!
Fries: skip it. McDonald's are better.
Burger: delicious! The very well grilled piece of Beaufort cheese elevates this burger to another level. It comes cooked medium (wished I asked for well done).
Iceberg wedge: very unique and the chive sauce tastes like Lays sour cream & chives chips. Big portion too.
Octopus carpaccio: delicious sauce and oil but not worth the price for the few thin slices of octopus.
Famous lemon meringue: we were too full to order it. Next time!",Aloette,Yelp,Positive
"Aloette is a must-visit destination for foodies and is sure to delight your taste buds. Its fine dining sister-restaurant ALO upstairs has always been one of the most sought after reservations in Toronto and Aloette upholds a similarly high standard for the food they serve in a more casual diner setting.

The Aloette Burger is a showstopper that is sure to leave you craving for more. The thick melty patty of beaufort cheese that tops a perfectly medium-rare beef burger is what sets it apart. The rest of the burger however keeps things dignified with lettuce and onions. Perfectly executed, without trying too hard.

You'll probably be pretty well fed after their loaf of cheddar brioche bread on top of whatever you ordered (everything sure to be good), but don't leave without having their Lemon Meringue Pie. It is a perfect blend of sweetness and tanginess that will take your taste buds over the top.

Not surprisingly Aloette is listed in the Michelin guide and ALO is honoured with a star, but any local will tell you that they were one of our favourites long before Michelin decided to pay a visit to Toronto.",Aloette,Yelp,Positive
"The best meal I had on my visit to Toronto. The staff here does a good job at keeping some tables open for walk in, which is always appreciated. We did call to make a reservation - impression at first walk in - it's an upsaclediner feel, which is what they're going for. Aloette is from the same group as Alo, started by Michelin-starred chef Patrick Kriss in 2015.

When we walked in, I didn't realize we had made a reservation at the bar (it's a diner top) and since we were celebrating an early birthday meal, we opted to sit in a booth and were told we had a time limit. That said, we got to looking at the menu and it's pretty tight so we made some choices. My sister who I was with has a dairy allergy and they were so great, they even let us try the scallop sauce - which was a koji butter.

I love French food and I love diner food, and I wasn't expecting asian fusion! Our waitress Lee was AMAZING - she knew we had the time constraint so she got us ordering. The complimentary bread service is ALWAYS appreciated, and I liked the cheesy bread.

We shared for the starters: The 'Nduja Stuffed Olive Skewer - which has adouli sausage and halloumi, sourdough, chimichurri, omg it was such a delicious little bite; East Coast Oysters with tiger's milk mignonette (bury me in this mignonette); Salmon Tartare on shiso leaf, nori aioli, dashi pearl (it was the least favorite dish); and the Octopus Carpaccio - romesco, almond, cherry tomato. I will never forget this Octopus Carpaccio, the romesco with the almond gave it a flavor of salsa macha and I was literally licking the plate.

Then for entree, I got the Aloette Burger with the cheese on the side (it is a HEAVY burger, and I actually liked that the cheese was on the side). The waitress was so great and veered me away from the tempting Wagyu Truffle Burger -- you have to work up to the heaviness. The other disappointing item - the fries. If you are going to charge $10 for a side of fries, they better be amazing. They tasted almost stale, but no matter bc everything else was amazing. My sister got a half portion of the Aloette Fried Chicken, and I was upset how good this was. We were poo-pooing the idea of ordering this because it was asian fusion: yuzu honey, takuan, hot sauce, bibb lettuce - but the hot sauce, a homemade buffalo-esque was amazing.

Now their wine menu, I was expecting a lot of natural wine, but it was tight. They do have organic wines here but the glass of Beaujolais was average, and I LOVE Beaujolais.

The pi�ce de r�sistance is the Lemon Meringue Pie -- it's $15 a slice which is a STEAL. This pie is like crack. We obsessed over every single bite -- I can't tell you how good this is. Fluffy meringue, and crisp acid lemon and a delightful graham cracker bite. We loved it so much, we even got one to go. And I will tell you, it was just as good at home!

They do brunch and are open for lunch on Fridays. I loved this restaurant, it was higher end food but not the fluff with the diner feel. The staff was so kind and they have a cutie bathroom down the stairs that felt really high end!",Aloette,Yelp,Positive
"So after hearing all about it, we went there this past week and were fairly disappointed.
We were received with a lot of warmth and the service was no doubt impeccable.
But the food was a disappointment. We have had much better French cuisine before.
The speciality drinks were just ehhh! The O&O - I didn't order a second drink.
The broccoli, which was recommended by the server, was so heavy. Maybe because it was deep fried. The carpaccio was average. The scallops were ok as well. The agnolotti wasn't bad.
The best item was the tuna tartar.
Even the bread tasted slightly burned and salty.
Sorry to say, I Just wasn't impressed much.
Will I go there again? -probably not. Will try some other place.
Even the dessert was not good. The hazelnut cake was dry. Maybe it just wasn't their day.",Aloette,Yelp,Negative
"My group of friends and I went to this restaurant with high expectations. The service was well done with complimentary coat check. Our table had four people and we ordered the special roasted pork with foie gras, cornish hen, organic salmon, scallop tostada, beef tartare, fried smelts, a bottle of cava, aperol spritz and ""the fresh number"" cocktail.

We started our night on a high note with the aperol spritz (not on the menu but you can order it) and ""the fresh number"" cocktail. ""The fresh number"" was not as good and was watered down. We followed with the starters which included scallop tostada, beef tartare and fried smelts. Our waitress helped us with this selection but we found them not as good as she described. The scallop tostadas come in a set of 3 and was pretty saucy. The beef tartare was also loaded with sauce so it tasted more like a burger with big mac sauce. And the fried smelts were pretty well seasoned and were topped with deep fried jalape�o pieces.

For our mains, two of us shared the special, which was the foie gras roasted pork (a favourite of our waitress). The pork chop was a fairly large piece and is shareable but it was greasy and fatty. There were no sides to accompany this dish. The organic salmon which was cooked well but not mind blowing in any way. And the cornish hen which was also fairly greasy and heavy and it was accompanied by mushrooms, spinach and a fried egg.

We ended our meal with a bottle of cava which was a nice way to end the night.

From what we ordered the best dishes included the scallop tostada, fried smelts and the cornish hen.

Our bill came out to around ~300, which we felt was a bit pricey for the quality of the food we ate. It was definitely not worth the hype.",Aloette,Yelp,Negative
