Input,Output,Label
"We recently visited Gyubee Japanese Grill, and it was an outstanding dining experience. From the moment we sat down, we were excited by the diverse selection of meats on the menu, all of which were incredibly fresh and flavorful.

The ambiance added to the overall experience, providing a cozy yet lively environment ideal for a fun meal. The service was also fantastic, with the staff being attentive and helpful when needed.

Highly recommend Gyubee to anyone who loves Japanese BBQ and is looking for a fun and tasty grill experience. We’ll definitely be coming back!",Outstanding dining at Gyubee. Cozy and lively vibe. Fresh and flavorful meats. Fantastic service. Highly recommend for Japanese BBQ lovers. Will definitely return!,1
"I have complex feelings for this place.
For an AYCE, its quality is above average. It has a nice variety of korean and Japanese side dishes. Their service is also great. Their price is acceptable given their quality and variety of foods.
Unfortunately, they only take debit or cash. They also don't take reservations for groups under 6 people. If they're busy, you'd have to sign up for their waiting list. If your table is ready, your whole group has to show up within 5 minutes, otherwise, they move it on to the next group.
I'd still go back once in a while on a chill day, but not on a busy Friday night with a group of 4 and wait for 1.5 hours.","Complex feelings about this place. Above-average AYCE with nice variety of Korean and Japanese sides. Great service and acceptable prices. Only accept debit or cash. No reservations for groups under 6. Might wait if busy. Would return on a chill day, but not on a busy Friday with a group.",1
"This place is absolutely packed full, especially on the weekends. Be prepared to waitlist ahead of time, as wait time sky-rockets to approx. 1-1.5hrs especially past 5:30pm. Checking in is an absolute nightmare as there is not enough space on the front waiting area, so everyone is left standing packed like sardines; I wish they would consider expanding the lobby or rearranging their check in process. With that said, I always seem to come back every single time as their food and service are absolutely amazing. The servers are very courteous, friendly and do their absolute best to provide exemplary service; every time I’ve been, I was always very satisfied with the service provided. Their menu also consists of a wide range of different flavours, and a variety of protein, my favourites are the miso steak, sweet soy short rib and sausage. Overall, would highly recommend to try out! But maybe not during the dinner rush…","Always packed, expect 1-1.5hr wait on weekends. Check-in is chaotic, needs improvement. Amazing food and friendly service. Love the miso steak, sweet soy short rib, and sausage. Highly recommend, but avoid dinner rush.",1
"It’s a great place to enjoy Japanese BBQ. The selection of food is great. I personally enjoyed meat rather than see food. See food choice is limited but meat is just great. I’ve been to a couple other Japanese and Korean BBQ places in the neighborhood/downtown, but this place definitely stands out. With this comes huge wait time… hate it but it is what it is.

I recommend booking a table in advance by calling them or using Yelp. A wait time of like an hour is okay for this place.

The price for two adults and a kid was about $135. I seemed to remember that about a year ago it was about $90 for us. So inflation is here …","Great Japanese BBQ spot. Awesome meat selection, limited seafood. Huge wait time, recommend booking ahead. Paid $135 for two adults and a kid, up from $90 last year. Worth it despite the wait.",1
"It was an unplanned late lunch on a chilly Saturday, so we hadn’t reserved a table. We joined the waitlist and waited about 50 minutes before being seated—this place is bustling! Once we sat down, the food arrived surprisingly fast, and our server, Ivy, was absolutely delightful and attentive. Despite the packed space, the overall experience was very positive. Kudos to the entire team for their hard work and dedication! They truly deserve generous tips for all they do.",Busy spot with a 50-min wait. Fast food delivery once seated. Delightful and attentive service from Ivy. Positive overall experience. Team deserves generous tips!,1
"I recently visited this restaurant and had a mixed experience. The welcoming was great—the manager greeted us with a warm smile, which made us feel immediately at ease. The restaurant itself is cozy, with a beautiful interior design that creates a pleasant atmosphere. We chose to sit on the top patio, which added to the overall experience.

However, there were some noticeable issues with the service and food. The waitress who served us seemed unhappy and didn't introduce herself, which affected the overall vibe. Unfortunately, all three dishes we ordered arrived cold. The kale salad with added chicken was oily, even though we specifically requested no oil, and the chicken itself was cold. The pizza had a partially burned crust, which left a noticeable burnt taste. As for the steak, it was cold when it arrived, and even after sending it back to be warmed up, it was returned to us still cold. The staff tried to explain, but it was clear they were not fully familiar with the proper process.

While the food had potential to be delicious, these issues significantly impacted our experience. For these reasons, I’m giving this restaurant 3 stars. I hope they can address these concerns to improve the overall dining experience.","Great welcoming and cozy vibe. Beautiful interior. Top patio added to the experience. Service was lacking; waitress seemed unhappy. Food arrived cold: oily kale salad with cold chicken, burnt pizza crust, and cold steak even after sending it back. Potential is there, but major issues affected the experience. Rating: 3/5. Hope they improve.",1
"Okay wow I am seriously impressed with the entire experience here! we went to this restaurant for my mom’s birthday and it was better than we thought. The only comment I would make is that you can’t reserve in advance so you need to be prepared to wait at least 15 minutes.

The Nduja pizza was spicy and sweet- the perfect combo.
The polipo octopus was so tasty with the pesto and tomato sauce on the side
And the risotto is a must eat! The truffle is super filling and fantastic portion size.","Impressed with the experience! Great for my mom's birthday. Nduja pizza had a perfect spicy-sweet combo. Tasty polipo octopus with pesto. Must-try truffle risotto, filling with fantastic portion. Be ready to wait about 15 min, no reservations.",1
Honestly the waitress really didn’t care. We were a group of 8 so automatic 20% gratuity which is why I’m assuming she didn’t care to introduce herself or smile. The pasta was mid but the risotto was really good. However we later saw her offer Parmesan and cracked pepper to other tables which we completely forgot to ask for. But it should’ve been offered? Probably won’t be going back,"Service was lacking; waitress didn't care. Group of 8, automatic 20% tip. Pasta was average, but risotto was really good. Missed out on Parmesan and pepper that others received. Probably won't return.",1
"Trattoria Nervosa is a charming Italian restaurant located in Toronto, known for its cozy atmosphere and delicious cuisine.

**Food:** The menu features classic Italian dishes, from pasta and risotto to wood-fired pizzas. The flavors are authentic, and the ingredients are fresh. Standout dishes include the truffle gnocchi and the margherita pizza. Don’t skip dessert—try the tiramisu!

**Atmosphere:** The ambiance is warm and inviting, with rustic decor that adds to the Italian trattoria vibe. It’s perfect for a romantic dinner or a casual meal with friends.

**Service:** The staff is friendly and attentive, creating a welcoming experience. They’re knowledgeable about the menu and happy to provide recommendations.

**Value:** Prices are reasonable for the quality of food and portion sizes. It’s a great spot for a special occasion or a nice night out.

**Overall Experience:** Trattoria Nervosa delivers a delightful dining experience with its delicious food and inviting atmosphere. It’s definitely worth a visit if you’re in the mood for Italian cuisine!",Charming Italian spot. Cozy vibe with rustic decor. Delicious food—try the truffle gnocchi and margherita pizza! Friendly and attentive service. Reasonable prices for quality. Great for a special occasion. Worth a visit!,1
"It is a delightful experience in Trattoria. The food was delicious across the board. The salad was very refreshing and healthy, providing a great start to the meal. Both the pasta and risotto were well-seasoned, bursting with flavor. The pizza was a pleasant surprise, as it didn't feel heavy or fattening at all.

The atmosphere was charming, and the service was commendable, especially as they were doing their best in the rain with water in the covered patio. Despite the weather challenges, the staff remained attentive and friendly, making our dining experience enjoyable.","Delightful experience at Trattoria. Refreshing salad, flavorful pasta and risotto. Light and surprising pizza. Charming atmosphere. Commendable service, even in the rain. Attentive and friendly staff.",1
